Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C5, C7, C8",C_Rect_L7.0mm_W2.5mm_P5.00mm,8,0.1uF,
"C4, C6",CP_Radial_D5.0mm_P2.50mm,2,47uf,
C9,CP_Radial_D5.0mm_P2.50mm,1,22uf,
"D1, D10, D11, D12, D13, D15, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,16,LED,
D14,LED_D3.0mm-3,1,LED_Dual_AKA,
D16,LED_D5.0mm,1,LED,
F1,Fuse_Bourns_MF-RG300,1,Polyfuse,
J1,IDC-Header_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
J11,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J2,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J3,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,1,AudioJack3_Ground_SwitchTR,
"J4, J8",PSS_3,2,Conn_01x03,
J5,CUI_RCJ-041,1,X,
J6,CUI_RCJ-041,1,Y,
J7,CUI_RCJ-041,1,Z,
J9,PinHeader_2x20_P2.54mm_Vertical,1,RaspiGPIO40,
Q1,TO-220-3_Horizontal_TabDown,1,IRF5305,
"Q2, Q5",SOT-23,2,BSS138,
"R1, R10, R3, R5, R9",SM-1206B,5,6.8k,
"R11, R18, R7",SM-1206B,3,470,
"R12, R15, R16",SM-1206B,3,10K,
R17,SM-1206B,1,1K,
"R2, R4, R6",SM-1206B,3,20K,
R8,SM-1206B,1,2.2K,
"RV1, RV2, RV3",Potentiometer_Bourns_PTV09A-2_Single_Horizontal,3,10k,
"S3, S4",SW_KSA0V311LFTR_CNK-RA-pushbutton,2,RA_Push,
"SW1, SW18, SW19, SW2, SW20, SW21, SW22, SW3, SW4, SW5",mILS-TB-140-SW_PUSH_and_LED_6mm_x8,10,mSW_Push_LEDx8,
"SW10, SW11, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35",ILS-TB-140-SW_PUSH_LED_round,10,SW_Push_LED,
"SW12, SW13, SW14, SW15, SW23, SW24, SW36, SW37, SW38, SW39, SW40, SW6, SW7, SW8, SW9",ILS-TB-140-SW_PUSH_and_LED_6mm,15,SW_Push_LED,
SW25,SPDT-Toggle-Right-Angle,1,SW_SPDT_MSM,
"TP1, TP2",TestPoint_Loop_D2.50mm_Drill1.0mm,2,TestPoint,
"U1, U2, U5",SSOP-28_5.3x10.2mm_P0.65mm,3,IS31FL3731-SA,
U10,SOIC-14_3.9x8.7mm_P1.27mm,1,4001,
"U3, U4",QFN50P400X400X80-25N,2,TCA8418RTWR,
U6,DFN-10_DD-with-clearance,1,LTC4316IDD_PBF,
U7,Rotary-Daughter-PCB,1,~,
U8,RasPi-Outline,1,RasPi Outline,
U9,D_to_A_Outline,1,D_to_A_Outline,
"mD1, mD2, mD3, mD4, mD5, mD6, mD7, mD8",LED_D3.0mm_16x_bank,8,~,
"mD10, mD11, mD12, mD13, mD14, mD15, mD16, mD17, mD18, mD19, mD20, mD9",LED_D3.0mm_8x_bank,12,~,
