Designator,Mid X,Mid Y,Rotation,Layer
C1,93.0,-60.5,180.0,top
C2,84.499987,-38.5,180.0,top
C3,118.0,-49.0,0.0,top
C4,84.5,-52.5,270.0,top
D1,114.275,-38.5,0.0,top
D10,119.775,-43.5,0.0,top
D11,125.275,-43.5,0.0,top
D12,130.775,-43.5,0.0,top
D13,136.275,-43.5,0.0,top
D14,141.775,-43.5,0.0,top
D15,147.275,-43.5,0.0,top
D16,152.775,-43.5,0.0,top
D17,114.275,-55.0,0.0,top
D18,119.775,-55.0,0.0,top
D19,125.275,-55.0,0.0,top
D2,119.775,-38.5,0.0,top
D20,130.775,-55.0,0.0,top
D21,136.275,-55.0,0.0,top
D22,141.775,-55.0,0.0,top
D23,147.275,-55.0,0.0,top
D24,152.775,-55.0,0.0,top
D25,114.55,-60.0,0.0,top
D26,119.775,-60.0,0.0,top
D27,125.05,-60.0,0.0,top
D28,130.775,-60.0,0.0,top
D29,136.05,-60.0,0.0,top
D3,125.275,-38.5,0.0,top
D30,141.55,-60.0,0.0,top
D31,147.275,-60.0,0.0,top
D32,152.775,-60.0,0.0,top
D4,130.775,-38.5,0.0,top
D5,136.275,-38.5,0.0,top
D6,141.775,-38.5,0.0,top
D7,147.275,-38.5,0.0,top
D8,152.55,-38.5,0.0,top
D9,114.275,-43.5,0.0,top
F1,77.0,-38.0,180.0,top
J1,77.16,-70.6,0.0,top
J3,106.235,-54.945,0.0,top
Q1,108.0235,-36.1615,180.0,top
Q2,108.0235,-40.7865,180.0,top
R1,102.349,-35.341,0.0,top
R2,102.349,-38.5,0.0,top
R3,102.349,-41.659,0.0,top
R4,102.349,-44.818,0.0,top
R5,88.2855,-65.3695,0.0,bottom
R6,88.2855,-68.5285,0.0,bottom
R7,89.0,-52.651,270.0,bottom
R8,102.349,-62.5,0.0,top
SW1,116.75,-70.75,0.0,top
SW10,149.75,-70.75,0.0,top
SW11,149.75,-80.75,0.0,top
SW12,149.75,-90.75,0.0,top
SW2,116.75,-80.75,0.0,top
SW3,116.75,-90.75,0.0,top
SW4,127.75,-70.75,0.0,top
SW5,127.75,-80.75,0.0,top
SW6,127.75,-90.75,0.0,top
SW7,138.75,-70.75,0.0,top
SW8,138.75,-80.75,0.0,top
SW9,138.75,-90.75,0.0,top
U1,97.0,-52.5,270.0,top
U2,100.65,-80.5,0.0,top
U3,100.5625,-77.75,0.0,top
